entity_id,canonical_name,aliases,source_records,suggested_canonical,reason
Drug::解毒消炎丸,解毒消炎丸,解毒消炎丸,1,解毒消炎,suffix_stripped
Drug::谷红注射液,谷红注射液,谷红注射液,6,谷红,suffix_stripped
Drug::越鞠丸,越鞠丸,越鞠丸,1,越鞠,suffix_stripped
Drug::越鞠保和丸,越鞠保和丸,越鞠保和丸,1,越鞠保和,suffix_stripped
Drug::达芦那韦考比司他片,达芦那韦考比司他片,达芦那韦考比司他片,1,达芦那韦考比司他,suffix_stripped
Drug::连花清瘟胶囊,连花清瘟胶囊,连花清瘟胶囊,2,连花清瘟,suffix_stripped
Drug::连花清瘟颗粒,连花清瘟颗粒,连花清瘟颗粒,1,连花清瘟,suffix_stripped
Drug::通宣理肺丸,通宣理肺丸,通宣理肺丸,1,通宣理肺,suffix_stripped
Drug::通心络胶囊,通心络胶囊,通心络胶囊,7,通心络,suffix_stripped
Drug::速尿注射液,速尿注射液,速尿注射液,1,速尿,suffix_stripped
Drug::酚麻美敏片,酚麻美敏片,泰诺|酚麻美敏片,2,酚麻美敏,suffix_stripped
Drug::醒脑静注射液,醒脑静注射液,醒脑静注射液,3,醒脑静,suffix_stripped
Drug::金丝桃片,金丝桃片,金丝桃片,2,金丝桃,suffix_stripped
Drug::金匮肾气丸,金匮肾气丸,金匮肾气丸,1,金匮肾气,suffix_stripped
Drug::金纳多注射液,金纳多注射液,金纳多注射液,2,金纳多,suffix_stripped
Drug::金花清感颗粒,金花清感颗粒,金花清感颗粒,2,金花清感,suffix_stripped
Drug::金钱草片,金钱草片,金钱草片,1,金钱草,suffix_stripped
Drug::钙片,钙片,钙片,5,钙,suffix_stripped
Drug::银杏叶注射液,银杏叶注射液,银杏叶注射液,5,银杏叶,suffix_stripped
Drug::银杏叶胶囊,银杏叶胶囊,银杏叶胶囊,1,银杏叶,suffix_stripped
Drug::银杏含片,银杏含片,银杏含片,1,银杏含,suffix_stripped
Drug::银杏软胶囊,银杏软胶囊,银杏软胶囊,1,银杏软,suffix_stripped
Drug::银翘解毒丸,银翘解毒丸,银翘解毒丸,1,银翘解毒,suffix_stripped
Drug::镇痛散,镇痛散,镇痛散,1,镇痛,suffix_stripped
Drug::防风丸,防风丸,防风丸,1,防风,suffix_stripped
Drug::防风通圣丸,防风通圣丸,防风通圣丸,1,防风通圣,suffix_stripped
Drug::阿兹夫定片,阿兹夫定片,阿兹夫定片,2,阿兹夫定,suffix_stripped
Drug::附子理中丸,附子理中丸,附子理中丸,1,附子理中,suffix_stripped
Drug::陈香白露片,陈香白露片,陈香白露片,3,陈香白露,suffix_stripped
Drug::陈香露白露片,陈香露白露片,陈香露白露片,5,陈香露白露,suffix_stripped
Drug::颠茄浸膏片,颠茄浸膏片,颠茄浸膏片,1,颠茄浸膏,suffix_stripped
Drug::风湿寒痛片,风湿寒痛片,风湿寒痛片,1,风湿寒痛,suffix_stripped
Drug::香连片,香连片,香连片,2,香连,suffix_stripped
Drug::马贝散,马贝散,马贝散,1,马贝,suffix_stripped
Drug::鱼腥草注射液,鱼腥草注射液,鱼腥草注射液,2,鱼腥草,suffix_stripped
Drug::鸡肝散,鸡肝散,鸡肝散,1,鸡肝,suffix_stripped
Drug::麝香保心丸,麝香保心丸,麝香保心丸,12,麝香保心,suffix_stripped
Drug::麦考酚钠肠溶片,麦考酚钠肠溶片,麦考酚钠肠溶片,1,麦考酚钠,suffix_stripped
Drug::麻仁丸,麻仁丸,麻仁丸,1,麻仁,suffix_stripped
Drug::麻仁润肠丸,麻仁润肠丸,麻仁润肠丸,2,麻仁润肠,suffix_stripped
Drug::麻子仁丸,麻子仁丸,麻子仁丸,2,麻子仁,suffix_stripped
Drug::龙胆泻肝丸,龙胆泻肝丸,龙胆泻肝丸,1,龙胆泻肝,suffix_stripped
